base,True Negative,False Negative,False Positive,True Positive
densenet,94,6,32,259
densenet,94,6,31,260
densenet,95,5,33,258
densenet,95,5,32,259
densenet,94,6,32,259
densenet,95,5,32,259
densenet,94,6,32,259
densenet,94,6,32,259
densenet,95,5,32,259
densenet,94,6,33,258
densenet,91,9,32,259
densenet,94,6,32,259
densenet,93,7,32,259
densenet,94,6,32,259
densenet,93,7,32,259
densenet,94,6,32,259
densenet,93,7,33,258
densenet,94,6,30,261
densenet,94,6,32,259
densenet,91,9,32,259
densenet,95,5,33,258
densenet,94,6,32,259
densenet,94,6,32,259
densenet,94,6,32,259
densenet,94,6,31,260
densenet,94,6,32,259
densenet,94,6,31,260
densenet,96,4,33,258
densenet,94,6,33,258
densenet,93,7,32,259
densenet_gauss,98,2,26,265
densenet_gauss,97,3,27,264
densenet_gauss,98,2,27,264
densenet_gauss,97,3,26,265
densenet_gauss,98,2,27,264
densenet_gauss,98,2,28,263
densenet_gauss,98,2,27,264
densenet_gauss,98,2,29,262
densenet_gauss,98,2,27,264
densenet_gauss,98,2,26,265
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,97,3,26,265
densenet_gauss,98,2,26,265
densenet_gauss,97,3,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,26,265
densenet_gauss,98,2,26,265
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,28,263
densenet_gauss,98,2,29,262
densenet_gauss,98,2,27,264
densenet_gauss,98,2,27,264
densenet_gauss,98,2,26,265
densenet_gauss,98,2,27,264
densenet_gauss,97,3,28,263
mobilenet,97,3,55,236
mobilenet,97,3,56,235
mobilenet,96,4,55,236
mobilenet,96,4,53,238
mobilenet,95,5,53,238
mobilenet,96,4,56,235
mobilenet,96,4,56,235
mobilenet,95,5,53,238
mobilenet,96,4,54,237
mobilenet,95,5,56,235
mobilenet,96,4,55,236
mobilenet,96,4,54,237
mobilenet,96,4,55,236
mobilenet,96,4,55,236
mobilenet,96,4,52,239
mobilenet,96,4,53,238
mobilenet,95,5,54,237
mobilenet,96,4,53,238
mobilenet,96,4,53,238
mobilenet,96,4,53,238
mobilenet,96,4,54,237
mobilenet,96,4,52,239
mobilenet,94,6,53,238
mobilenet,96,4,55,236
mobilenet,96,4,53,238
mobilenet,96,4,53,238
mobilenet,96,4,53,238
mobilenet,96,4,55,236
mobilenet,96,4,52,239
mobilenet,96,4,55,236
mobilenet_gauss,96,4,54,237
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,54,237
mobilenet_gauss,94,6,54,237
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,54,237
mobilenet_gauss,94,6,53,238
mobilenet_gauss,95,5,56,235
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,52,239
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,53,238
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,55,236
mobilenet_gauss,95,5,53,238
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,54,237
mobilenet_gauss,95,5,57,234
mobilenet_gauss,95,5,56,235
mobilenet_gauss,95,5,54,237
mobilenet_gauss,96,4,53,238
mobilenet_gauss,95,5,54,237
vgg16,93,7,29,262
vgg16,93,7,28,263
vgg16,92,8,28,263
vgg16,92,8,29,262
vgg16,91,9,29,262
vgg16,92,8,29,262
vgg16,93,7,28,263
vgg16,92,8,29,262
vgg16,91,9,29,262
vgg16,93,7,30,261
vgg16,93,7,29,262
vgg16,92,8,28,263
vgg16,93,7,29,262
vgg16,93,7,30,261
vgg16,94,6,29,262
vgg16,92,8,30,261
vgg16,92,8,29,262
vgg16,93,7,29,262
vgg16,93,7,28,263
vgg16,90,10,28,263
vgg16,93,7,29,262
vgg16,93,7,30,261
vgg16,92,8,29,262
vgg16,93,7,29,262
vgg16,92,8,29,262
vgg16,92,8,29,262
vgg16,92,8,29,262
vgg16,93,7,28,263
vgg16,93,7,29,262
vgg16,93,7,28,263
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,31,260
vgg16_gauss,92,8,29,262
vgg16_gauss,91,9,29,262
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,30,261
vgg16_gauss,93,7,30,261
vgg16_gauss,93,7,30,261
vgg16_gauss,92,8,32,259
vgg16_gauss,91,9,28,263
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,29,262
vgg16_gauss,91,9,28,263
vgg16_gauss,91,9,28,263
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,30,261
vgg16_gauss,92,8,30,261
vgg16_gauss,92,8,29,262
vgg16_gauss,91,9,27,264
vgg16_gauss,92,8,29,262
vgg16_gauss,92,8,29,262
vgg16_gauss,91,9,29,262
vgg16_gauss,93,7,29,262
vgg16_gauss,92,8,28,263
vgg16_gauss,92,8,31,260
vgg16_gauss,93,7,29,262
vgg16_gauss,92,8,28,263
vgg16_gauss,92,8,30,261
vgg16_gauss,92,8,29,262
